#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1     2.20645     2.20645           0
           2     2.19912     2.20279  0.00259366
           3     2.20311     2.20289  0.00173135
           4     2.19975     2.20211  0.00146577
           5     2.20101     2.20189   0.0011891
           6      2.1903     2.19996  0.00202286
           7     2.20305      2.2004  0.00178147
           8     2.20315     2.20074   0.0015916
           9     2.20548     2.20127  0.00149946
          10     2.18815     2.19996  0.00183608
          11     2.17892     2.19804  0.00247195
          12     2.18078     2.19661  0.00265172
          13     2.19598     2.19656  0.00244817
          14     2.20414      2.1971  0.00233247
          15     2.21648     2.19839  0.00250947
          16      2.1923     2.19801   0.0023813
          17     2.19547     2.19786  0.00224592
          18     2.18741     2.19728  0.00219495
          19     2.18792     2.19679  0.00213402
          20     2.17766     2.19583  0.00223143
          21      2.1812     2.19513  0.00223132
          22     2.17907      2.1944   0.0022462
          23     2.16574     2.19316  0.00247014
          24     2.15699     2.19165  0.00278932
          25     2.16794      2.1907  0.00283437
          26     2.18761     2.19058  0.00272784
          27     2.17835     2.19013  0.00266418
          28     2.16548     2.18925  0.00271053
          29     2.14272     2.18765  0.00305533
          30     2.12454     2.18554  0.00360566
          31     2.13534     2.18392  0.00383587
          32     2.14272     2.18263  0.00392617
          33     2.15985     2.18194  0.00386744
          34     2.16356      2.1814   0.0037913
          35     2.17189     2.18113  0.00369271
          36     2.18557     2.18126  0.00359219
          37     2.20068     2.18178  0.00353325
          38     2.17122      2.1815  0.00345118
          39     2.16445     2.18106  0.00339027
          40     2.17242     2.18085  0.00331239
          41     2.17365     2.18067  0.00323626
          42     2.15486     2.18006  0.00321705
          43     2.16342     2.17967  0.00316543
          44     2.16387     2.17931  0.00311378
          45     2.18584     2.17946  0.00304796
          46     2.18421     2.17956  0.00298345
          47     2.18669     2.17971  0.00292383
          48     2.18358     2.17979  0.00286403
          49      2.2041     2.18029   0.0028482
          50     2.18566      2.1804  0.00279326
           1     2.18566     2.18566           0
           2      2.2041     2.19488   0.0065193
           3     2.18358     2.19111   0.0053241
           4     2.18669     2.19001  0.00410589
           5     2.18421     2.18885  0.00344431
           6     2.18584     2.18835  0.00290656
           7     2.16387     2.18485   0.0040844
           8     2.16342     2.18217  0.00436498
           9     2.15486     2.17914  0.00482098
          10     2.17365     2.17859  0.00436999
          11     2.17242     2.17803  0.00400852
          12     2.16445      2.1769  0.00383083
          13     2.17122     2.17646  0.00356093
          14     2.20068     2.17819  0.00370299
          15     2.18557     2.17868  0.00348866
          16     2.17189     2.17826  0.00329634
          17     2.16356     2.17739  0.00321378
          18     2.15985     2.17642   0.0031796
          19     2.14272     2.17464  0.00347184
          20     2.13534     2.17268  0.00381418
          21     2.12454     2.17039   0.0042662
          22     2.14272     2.16913  0.00425363
          23     2.16548     2.16897  0.00407164
          24     2.17835     2.16936   0.0039207
          25     2.18761     2.17009  0.00383125
          26     2.16794     2.17001  0.00368479
          27     2.15699     2.16953  0.00357972
          28     2.16574     2.16939  0.00345442
          29     2.17907     2.16972  0.00335139
          30      2.1812     2.17011  0.00326143
          31     2.17766     2.17035   0.0031653
          32     2.18792      2.1709  0.00311363
          33     2.18741      2.1714   0.0030592
          34     2.19547     2.17211  0.00305001
          35      2.1923     2.17268  0.00301696
          36     2.21648      2.1739  0.00316896
          37     2.20414     2.17472  0.00318697
          38     2.19598     2.17528  0.00315185
          39     2.18078     2.17542  0.00307419
          40     2.17892     2.17551  0.00299858
          41     2.18814     2.17581  0.00294125
          42     2.20548     2.17652  0.00295483
          43     2.20315     2.17714  0.00295028
          44     2.20305     2.17773   0.0029414
          45      2.1903     2.17801  0.00288927
          46     2.20101     2.17851  0.00286938
          47     2.19975     2.17896  0.00284371
          48     2.20311     2.17946  0.00282863
          49     2.19911     2.17986  0.00279919
          50     2.20645      2.1804  0.00279326
