           0  0.00238565 0.000779076
    0.326599   0.0146398  0.00152432
    0.653197   0.0410301  0.00380544
    0.979796   0.0727829  0.00521014
     1.30639    0.107013  0.00691967
     1.63299    0.113631   0.0054017
     1.95959    0.133479    0.003993
     2.28619    0.151218   0.0208411
     2.61279    0.117576  0.00917804
     2.93939   0.0812977  0.00357884
     3.26599   0.0581917  0.00377165
     3.59258   0.0383838  0.00236888
     3.91918   0.0246051  0.00193599
     4.24578   0.0207648  0.00210831
     4.57238   0.0110208  0.00148845
     4.89898  0.00563426  0.00092871
     5.22558  0.00433657  0.00129118
     5.55218  0.00133009 0.000428229
     5.87878 0.000444907 0.000275811
     6.20537 0.000235648 0.000158094
     6.53197           0           0
     6.85857           0           0
     7.18517           0           0
     7.51177           0           0
     7.83837           0           0
     8.16497           0           0
     8.49156           0           0
     8.81816           0           0
     9.14476           0           0
     9.47136           0           0
