#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
           1    0.326479    0.326479           0
           2    0.328783    0.327631 0.000814564
           3    0.337309    0.330857  0.00268929
           4    0.350103    0.335668  0.00462928
           5    0.352058    0.338946  0.00472351
           6    0.348987     0.34062  0.00422228
           7    0.334272    0.339713   0.0037152
           8    0.338235    0.339528  0.00325539
           9    0.329294    0.338391   0.0030859
          10    0.344646    0.339017  0.00283999
          11    0.337559    0.338884   0.0025849
          12    0.328474    0.338017  0.00251085
          13    0.335369    0.337813  0.00232595
          14     0.33361    0.337513   0.0021791
          15    0.336841    0.337468  0.00203428
          16    0.340982    0.337687  0.00191896
          17    0.343696    0.338041  0.00183834
          18    0.337356    0.338003  0.00173661
          19    0.335276    0.337859  0.00165112
          20    0.328427    0.337388  0.00163454
