TEMP:	MU:	SIGMA:	H:	ERROR:
3	0.699854	0.40283	0.202283	0.0168835
3	0.699854	0.40283	0.202283	0.0168835
3	0.511034	0.489516	-0.0691735	0.0077355
3	0.685104	0.425669	0.0202654	0.0165654
3	0.65094	0.441061	-0.0646176	0.0140379
3	0.692148	0.390084	0.305817	0.0232883
3	0.692148	0.390084	0.305817	0.0232883
3	0.777687	0.475872	-0.210477	0.0136006
3	0.844233	0.35049	0.800047	0.0291166
3	0.924063	0.430935	0.0984894	0.0173187
3	0.786653	0.482839	-0.238137	0.00960588
3	0.79783	0.40413	0.241	0.018389
3	0.71329	0.301802	1.64955	0.0410741
3	0.81934	0.425867	0.080207	0.0174001
3	0.81934	0.425867	0.080207	0.0174001
3	0.737277	0.391521	0.360707	0.0228959
3	0.86582	0.490347	-0.243851	0.00947282
3	0.727315	0.499446	-0.277203	0.00757844
3	0.573322	0.614968	-0.290249	0.00436287
3	0.442195	0.620076	-0.118518	0.00725601
3	0.290522	0.472413	0.458755	0.013297
3	0.489912	0.572029	-0.123185	0.00602876
3	0.464284	0.706095	-0.215831	0.00667097
3	0.491161	0.779732	-0.256754	0.00612724
3	0.649915	0.884033	-0.24001	0.0178691
3	0.759534	0.99746	-0.00963161	0.0292495
3	0.847687	1.00678	0.289612	0.0571473
3	1.02423	0.891966	0.359848	0.0351494
3	0.908108	0.861561	-0.0266012	0.033186
3	0.973626	0.723385	-0.20205	0.0176336
3	1.05206	0.631667	-0.165178	0.0114779
3	1.17466	0.768905	0.662985	0.0464845
3	1.30819	0.856801	1.79744	0.0593751
3	1.30092	0.882027	1.93852	0.0755427
3	1.34794	0.815716	2.06411	0.0740766
3	1.20039	0.821891	0.891131	0.0491124
3	1.21621	0.943158	1.66117	0.07146
3	1.16733	0.955665	1.43089	0.0893894
3	1.28364	1.01881	2.57752	0.110382
3	1.25687	0.937409	1.90146	0.0673206
3	1.22747	0.8092	1.0646	0.0465117
3	1.06257	0.766687	0.111261	0.0270657
3	0.868784	0.90142	-0.0393209	0.0246505
3	0.669399	0.836915	-0.308327	0.00985145
3	0.662115	0.821942	-0.310741	0.0109028
3	0.554924	0.930228	-0.230947	0.0150684
3	0.622866	1.01829	-0.0181796	0.0433801
3	0.624693	1.08401	0.0196415	0.0268056
3	0.62263	1.01831	-0.0650543	0.0276327
3	0.482462	1.04657	-0.159406	0.0201677
3	0.297726	0.941265	-0.260907	0.0079905
3	0.250741	0.975827	-0.247572	0.0170627
3	0.366831	0.87515	-0.251175	0.00689313
3	0.347719	0.881108	-0.246275	0.00673698
3	0.4608	0.857501	-0.280521	0.00807982
3	0.362418	0.949427	-0.264297	0.0102437
3	0.301944	0.904382	-0.240753	0.00835642
3	0.199077	0.965816	-0.251733	0.00783199
3	0.253763	1.10455	-0.177573	0.0173721
3	0.280215	1.04111	-0.263011	0.0101179
3	0.343218	1.00397	-0.267233	0.00999391
3	0.358291	0.927449	-0.249254	0.0150442
3	0.212436	1.06375	-0.230243	0.0152975
3	0.0391255	1.02231	-0.2626	0.00880306
3	0.202443	1.17139	-0.0912921	0.0285373
3	0.217119	1.0351	-0.246487	0.0106877
3	0.374275	1.08733	-0.151425	0.0193194
3	0.44494	1.11523	-0.0685069	0.0322814
3	0.355807	1.00371	-0.227925	0.0163359
3	0.187037	1.12975	-0.15471	0.0192287
3	0.0658284	1.13846	-0.130369	0.0242501
3	0.250996	1.10147	-0.195765	0.0210172
3	0.146556	1.08617	-0.22954	0.0144965
3	0.299033	1.22892	0.0716771	0.03424
3	0.442266	1.16685	0.0126197	0.0274757
3	0.558429	1.21479	0.301716	0.046887
3	0.558429	1.21479	0.301716	0.046887
3	0.524858	1.24289	0.414257	0.0557457
3	0.674937	1.16084	0.349506	0.054594
3	0.731097	1.15283	0.456196	0.0551213
3	0.770248	1.03907	0.133783	0.0348755
3	0.865919	0.917875	0.0169219	0.0298228
2.9925	0.99856	0.838528	0.144594	0.0399561
2.9925	0.985899	0.908577	0.255985	0.0362464
2.9925	0.984961	0.939613	0.438339	0.0463154
2.9925	0.827846	0.804835	-0.264889	0.0177076
2.9925	0.829767	0.911113	-0.0876801	0.0256502
2.9925	0.801255	0.900276	-0.168737	0.0161662
2.9925	0.743521	1.03501	0.0892526	0.0331964
2.9925	0.637798	0.925084	-0.20629	0.0152961
2.9925	0.507099	1.05522	-0.0373875	0.0462872
2.9925	0.335563	1.06239	-0.195889	0.0179475
2.9925	0.335563	1.06239	-0.195889	0.0179475
