#:	<H>:	ERROR:
0	-0.412802	0
1	-0.425287	0
2	-0.44523	0.02999
3	-0.44688	0.0184759
4	-0.441243	0.0149811
5	-0.443108	0.0120258
6	-0.440545	0.0103467
7	-0.425653	0.0183519
8	-0.43049	0.0168328
9	-0.432568	0.0150994
10	-0.439564	0.0154471
11	-0.435378	0.0147011
12	-0.437671	0.0136783
13	-0.439716	0.0127978
14	-0.442257	0.0121679
15	-0.444535	0.0115953
16	-0.443568	0.0109134
17	-0.446072	0.0105884
18	-0.447315	0.0100798
19	-0.448266	0.00959762
20	-0.449845	0.00925928
21	-0.451271	0.00893752
22	-0.44958	0.00870416
23	-0.447697	0.00854469
24	-0.447093	0.00821123
25	-0.448431	0.00799953
26	-0.44828	0.00769293
27	-0.450101	0.00763667
28	-0.449415	0.0073967
29	-0.449588	0.0071435
30	-0.450014	0.00691869
31	-0.450399	0.00670674
32	-0.449814	0.00652408
33	-0.449986	0.00632859
34	-0.449708	0.00614875
35	-0.449058	0.00600919
36	-0.448892	0.00584459
37	-0.448605	0.00569394
38	-0.448685	0.00554458
39	-0.447874	0.0054644
40	-0.448331	0.00534778
41	-0.448641	0.00522668
42	-0.447606	0.00520849
43	-0.448086	0.00511044
44	-0.449011	0.00508115
45	-0.449268	0.00497493
46	-0.449128	0.00486878
47	-0.449317	0.00476895
48	-0.449343	0.00466963
49	-0.44921	0.00457626
50	-0.448791	0.00450462
51	-0.447723	0.00454616
52	-0.4474	0.00447064
53	-0.446467	0.00448624
54	-0.446213	0.00441057
55	-0.446533	0.00434238
56	-0.446847	0.00427659
57	-0.446317	0.00423551
58	-0.444337	0.00461676
59	-0.444793	0.00456168
60	-0.444754	0.00448579
61	-0.443982	0.00448045
62	-0.443721	0.00441598
63	-0.443706	0.00434589
64	-0.444253	0.00431324
65	-0.444601	0.00426134
66	-0.444782	0.00420073
67	-0.444854	0.00413865
68	-0.444454	0.00409759
69	-0.444759	0.00404989
70	-0.445024	0.00400087
71	-0.444497	0.00397998
72	-0.444747	0.00393278
73	-0.444167	0.00392276
74	-0.443828	0.00388472
75	-0.443836	0.00383292
76	-0.443687	0.00378546
77	-0.443987	0.00374842
78	-0.442987	0.0038346
79	-0.443297	0.00379886
80	-0.443465	0.00375519
81	-0.443635	0.00371276
82	-0.443506	0.0036698
83	-0.44373	0.00363259
84	-0.443604	0.00359156
85	-0.443747	0.00355221
86	-0.443434	0.00352502
87	-0.443497	0.00348508
88	-0.443886	0.00346757
89	-0.443847	0.00342882
90	-0.443808	0.00339095
91	-0.443888	0.00335467
92	-0.444139	0.00332776
93	-0.444184	0.00329228
94	-0.444373	0.00326283
95	-0.443666	0.00330588
96	-0.44374	0.00327229
97	-0.443713	0.00323867
98	-0.443614	0.00320716
99	-0.44383	0.00318215
