#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1    0.489719    0.489719           0
           2    0.493175    0.491447  0.00122185
           3    0.505963    0.496285  0.00403394
           4    0.525154    0.503503  0.00694393
           5    0.528087     0.50842  0.00708526
           6     0.52348     0.51093  0.00633342
           7    0.501408    0.509569   0.0055728
           8    0.507353    0.509292  0.00488308
           9    0.493941    0.507587  0.00462885
          10    0.516969    0.508525  0.00425999
          11    0.506338    0.508326  0.00387736
          12    0.492711    0.507025  0.00376628
          13    0.503054    0.506719  0.00348893
          14    0.500416    0.506269  0.00326865
          15    0.505261    0.506202  0.00305143
          16    0.511472    0.506531  0.00287844
          17    0.515544    0.507061  0.00275751
          18    0.506035    0.507004  0.00260491
          19    0.502915    0.506789  0.00247669
          20     0.49264    0.506082  0.00245181
