#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.924529    0.924529           0
           2    0.839408    0.881968   0.0300948
           3    0.844472     0.86947   0.0225095
           4    0.878449    0.871714   0.0169937
           5    0.912875    0.879947   0.0154608
           6    0.913132    0.885477    0.013838
           7    0.919915    0.890397   0.0127056
           8    0.907302     0.89251   0.0112918
           9    0.887762    0.891983   0.0100494
          10    0.931874    0.895972  0.00980432
          11    0.921049    0.898252  0.00917424
          12    0.942274     0.90192  0.00911373
          13     0.76996    0.891769   0.0128796
          14     0.93046    0.894533   0.0122526
          15    0.916696     0.89601   0.0115245
          16    0.850635    0.893174   0.0111477
          17    0.909396    0.894129   0.0105327
          18    0.944561     0.89693   0.0103135
          19    0.919289    0.898107  0.00983756
          20    0.859388    0.896171  0.00953427
