#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     78.5954     78.5954           0
           2      75.492     77.0437     1.09723
           3      78.582     77.5565    0.842836
           4     77.1621     77.4579    0.637867
           5     82.0692     78.3801    0.969979
           6     81.3882     78.8815    0.928885
           7     76.2729     78.5088    0.867727
           8     83.7485     79.1638    0.975616
           9        78.3     79.0678    0.871922
          10     78.3851     78.9995    0.787398
          11     79.1646     79.0145    0.715959
          12     80.9964     79.1797    0.675077
          13     77.0815     79.0183    0.642152
          14     78.1662     78.9574    0.599161
          15     77.8197     78.8816    0.563998
          16     76.1104     78.7084    0.554705
          17     79.9979     78.7842    0.527236
          18     79.9615     78.8496    0.501985
          19     81.1019     78.9682     0.48936
          20     76.9508     78.8673    0.475175
