#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.35072     7.35072           0
           2     7.74734     7.54903    0.140224
           3     7.53343     7.54383   0.0935792
           4      7.2077      7.4598    0.101103
           5     7.55127     7.47809    0.082521
           6     7.34655     7.45617   0.0716206
           7     7.34555     7.44037   0.0631083
           8     7.69786     7.47255   0.0628947
           9     7.35016     7.45895   0.0573577
          10     7.64629     7.47769   0.0545956
          11     7.18937     7.45148   0.0555689
          12     7.33341     7.44164   0.0518018
          13     7.45442     7.44262   0.0478264
          14     7.54316      7.4498   0.0449461
          15     7.57945     7.45845   0.0427727
          16     7.47339     7.45938   0.0401096
          17     7.53752     7.46398   0.0380127
          18     7.19228     7.44888   0.0387821
          19     7.48598     7.45083   0.0367901
          20     7.15532     7.43606   0.0378015
