#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.75305     5.75305           0
           2     5.61104     5.68205    0.050211
           3     5.42269     5.59559   0.0781218
           4     5.60743     5.59855   0.0586473
           5     5.64844     5.60853    0.047759
           6     5.53632      5.5965   0.0412877
           7     5.69474     5.61053   0.0376996
           8     5.51512      5.5986   0.0348227
           9     5.52324     5.59023   0.0319444
          10      5.7902     5.61023   0.0344448
          11     5.48576     5.59891     0.03312
          12     5.46553      5.5878   0.0321711
          13     5.72712     5.59851   0.0314308
          14     5.62766      5.6006   0.0292546
          15     5.63656     5.60299   0.0274024
          16     5.61663     5.60384    0.025703
          17     5.73044     5.61129   0.0252468
          18     5.41499     5.60039   0.0260935
          19     5.54061     5.59724   0.0249091
          20     5.47797     5.59128   0.0243671
