#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.973556   -0.973556           0
           2   -0.970022   -0.971789  0.00124946
           3   -0.974102    -0.97256   0.0010441
           4    -0.97217   -0.972462 0.000787611
           5   -0.977396   -0.973449  0.00108438
           6    -0.97643   -0.973946  0.00101107
           7   -0.971366   -0.973577 0.000931387
           8    -0.97903   -0.974259  0.00103472
           9   -0.973624   -0.974188  0.00092215
          10   -0.973232   -0.974093 0.000834881
          11   -0.974374   -0.974118 0.000759374
          12    -0.97545   -0.974229 0.000704154
          13   -0.971238   -0.973999 0.000686556
          14    -0.97304   -0.973931 0.000640926
          15   -0.973148   -0.973879 0.000600318
          16   -0.971524   -0.973731 0.000580555
          17   -0.975544   -0.973838  0.00055611
          18   -0.975138    -0.97391 0.000529884
          19   -0.976338   -0.974038 0.000517172
          20    -0.97131   -0.973902 0.000508983
