#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.468353    0.468353           0
           2      0.4879    0.478126  0.00691091
           3    0.482169    0.479474  0.00473682
           4    0.454922    0.473336  0.00639354
           5    0.413486    0.461366   0.0118653
           6    0.428831    0.455943   0.0110576
           7    0.416682    0.450335   0.0108072
           8    0.394121    0.443308   0.0115163
           9    0.450082    0.444061   0.0102613
          10     0.46119    0.445774  0.00937703
          11    0.445075     0.44571  0.00852478
          12    0.456257    0.446589  0.00785956
          13    0.427888     0.44515  0.00738546
          14    0.415877    0.443059  0.00714779
          15    0.431737    0.442305  0.00671101
          16    0.462784    0.443585  0.00641247
          17    0.416513    0.441992  0.00622986
          18    0.459252    0.442951  0.00595709
          19    0.527597    0.447406  0.00711707
          20    0.427886     0.44643  0.00682781
