#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.194565    0.194565           0
           2    0.190496    0.192531  0.00143861
           3    0.212445    0.199169  0.00550424
           4    0.195714    0.198305  0.00419539
           5     0.19226    0.197096  0.00352621
           6    0.226352    0.201972  0.00533364
           7    0.190155    0.200284  0.00483146
           8    0.204891     0.20086  0.00426171
           9    0.195152    0.200226  0.00383509
          10    0.205931    0.200796  0.00349376
          11    0.185884     0.19944  0.00342908
          12    0.201792    0.199636  0.00314892
          13    0.214357    0.200769  0.00310362
          14    0.188593    0.199899  0.00300132
          15    0.207615    0.200413  0.00284497
          16    0.219039    0.201578  0.00289554
          17    0.190248    0.200911  0.00280086
          18    0.190074    0.200309  0.00270919
          19    0.187752    0.199648  0.00264599
          20    0.221248    0.200728   0.0027252
