#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.721454   -0.721454           0
           2   -0.720926    -0.72119 0.000186676
           3   -0.720512   -0.720964 0.000222573
           4   -0.720334   -0.720806 0.000215569
           5   -0.719994   -0.720644 0.000225535
           6   -0.721116   -0.720723 0.000201198
           7   -0.721318   -0.720808  0.00018958
           8   -0.721994   -0.720956 0.000216234
           9    -0.71914   -0.720754 0.000270434
          10   -0.721522   -0.720831 0.000254055
          11    -0.72086   -0.720834 0.000230973
          12   -0.718764   -0.720661 0.000268504
          13   -0.722808   -0.720826 0.000294285
          14   -0.720024   -0.720769 0.000278788
          15     -0.7201   -0.720724 0.000263746
          16   -0.721198   -0.720754 0.000248917
          17   -0.720068   -0.720714 0.000237523
          18    -0.71952   -0.720647 0.000233401
          19   -0.721764   -0.720706 0.000228397
          20    -0.71998    -0.72067 0.000219843
