#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     47.4462     47.4462           0
           2     39.2178      43.332     2.90919
           3     44.1732     43.6124     1.95293
           4     42.0533     43.2226     1.50309
           5     47.0524     43.9886     1.38394
           6     43.4542     43.8995     1.15615
           7     44.1466     43.9348    0.991524
           8     44.6795     44.0279    0.871942
           9     42.1102     43.8148     0.80067
          10     45.5436     43.9877    0.739031
          11      44.097     43.9976    0.671913
          12      42.973     43.9122    0.621322
          13     44.3161     43.9433    0.574304
          14     43.7921     43.9325    0.533383
          15     42.6868     43.8495    0.504248
          16     41.5687     43.7069    0.492469
          17     43.2002     43.6771    0.464401
          18     45.5457     43.7809    0.450054
          19     46.6544     43.9322    0.451063
          20     43.9673     43.9339    0.428513
