#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.848468   -0.848468           0
           2   -0.850062   -0.849265 0.000563564
           3   -0.851534   -0.850021 0.000722854
           4    -0.84872   -0.849696 0.000610981
           5    -0.84763   -0.849283 0.000612779
           6   -0.848908    -0.84922 0.000513823
           7   -0.847468    -0.84897 0.000497679
           8   -0.849178   -0.848996 0.000436147
           9   -0.849764   -0.849081 0.000395946
          10   -0.849262   -0.849099 0.000356764
          11   -0.845902   -0.848809 0.000426615
          12   -0.845636   -0.848544 0.000465843
          13    -0.84851   -0.848542 0.000430016
          14   -0.848412   -0.848532   0.0003994
          15   -0.848694   -0.848543 0.000372919
          16   -0.846804   -0.848434  0.00036511
          17    -0.84657   -0.848325 0.000359729
          18   -0.848578   -0.848339 0.000340019
          19   -0.849926   -0.848422 0.000332226
          20   -0.848732   -0.848438 0.000315975
