#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1     -0.7613     -0.7613           0
           2   -0.762792   -0.762046 0.000527502
           3   -0.763906   -0.762666  0.00061639
           4    -0.76019   -0.762047 0.000707874
           5   -0.761424   -0.761922 0.000577161
           6    -0.76199   -0.761934 0.000481077
           7   -0.761704   -0.761901 0.000413469
           8   -0.764632   -0.762242 0.000482565
           9    -0.76075   -0.762076 0.000456544
          10   -0.762332   -0.762102 0.000411604
          11   -0.762884   -0.762173 0.000380275
          12   -0.760176   -0.762007 0.000383277
          13    -0.76341   -0.762115 0.000368682
          14   -0.762788   -0.762163 0.000345471
          15    -0.76045   -0.762049 0.000340787
          16    -0.76202   -0.762047 0.000319492
          17   -0.761566   -0.762018 0.000301947
          18   -0.759846   -0.761898 0.000308352
          19   -0.762906   -0.761951 0.000296654
          20   -0.761574   -0.761932 0.000282419
