#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.138508    0.138508           0
           2    0.138796    0.138652 0.000101823
           3    0.144762    0.140689  0.00166432
           4    0.144174     0.14156   0.0014586
           5    0.136317    0.140511  0.00149708
           6    0.157396    0.143325  0.00285582
           7    0.138014    0.142567  0.00254666
           8    0.156588    0.144319  0.00276646
           9    0.142087    0.144071  0.00247017
          10    0.149753    0.144639  0.00228756
          11     0.15265    0.145368  0.00219245
          12    0.143252    0.145191  0.00201682
          13     0.13551    0.144447  0.00199445
          14    0.142144    0.144282  0.00185876
          15    0.137818    0.143851   0.0017841
          16    0.138402    0.143511  0.00170479
          17    0.137604    0.143163  0.00163953
          18    0.146284    0.143337  0.00155759
          19    0.142726    0.143304  0.00147594
          20    0.141921    0.143235  0.00140376
