#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.430736    0.430736           0
           2    0.435098    0.432917  0.00154233
           3    0.423594    0.429809  0.00273793
           4    0.409102    0.424633  0.00493116
           5    0.427874    0.425281   0.0039873
           6    0.441771    0.428029  0.00416357
           7    0.418508    0.426669  0.00378442
           8    0.427692    0.426797  0.00331353
           9    0.414758    0.425459  0.00320399
          10    0.423092    0.425223  0.00289233
          11    0.423851    0.425098  0.00263208
          12    0.432644    0.425727  0.00248673
          13    0.419466    0.425245  0.00234162
          14    0.413413      0.4244  0.00232188
          15    0.418841    0.424029  0.00219647
          16    0.419718     0.42376  0.00207565
          17    0.411444    0.423035  0.00207614
          18    0.440039     0.42398  0.00216508
          19    0.415186    0.423517  0.00210001
          20    0.411358    0.422909  0.00208116
