#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     10.4891     10.4891           0
           2     9.97618     10.2326    0.181334
           3     10.5903     10.3519    0.155218
           4     10.4046      10.365    0.116971
           5     10.3034     10.3527   0.0942245
           6     10.5518     10.3859   0.0841575
           7     10.5548       10.41   0.0755135
           8     9.65245     10.3153    0.110509
           9     10.4133     10.3262   0.0987651
          10     10.9571     10.3893    0.107158
          11     10.0135     10.3551    0.102719
          12     9.66923      10.298    0.108907
          13     10.4139     10.3069    0.100893
          14     10.4468     10.3169   0.0941807
          15     9.87544     10.2875   0.0923856
          16     10.2475      10.285   0.0866452
          17     10.1312     10.2759   0.0820193
          18     10.3723     10.2813   0.0776373
          19       10.14     10.2738   0.0739063
          20     10.1365      10.267   0.0705292
