#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.438024    0.438024           0
           2    0.423093    0.430558  0.00527908
           3    0.431423    0.430847  0.00352725
           4    0.420804    0.428336   0.0034243
           5      0.4482    0.432309  0.00448677
           6     0.42171    0.430542  0.00407189
           7    0.416713    0.428567  0.00394039
           8    0.422211    0.427772  0.00352702
           9    0.444099    0.429586  0.00357132
          10    0.453492    0.431977  0.00393371
          11     0.44319    0.432996  0.00370583
          12    0.431644    0.432884  0.00339873
          13    0.427613    0.432478  0.00316138
          14    0.426438    0.432047  0.00296486
          15    0.421239    0.431326  0.00285341
          16    0.427565    0.431091  0.00268474
          17     0.43259    0.431179  0.00252826
          18    0.437123     0.43151  0.00240926
          19    0.421996    0.431009  0.00233391
          20    0.448905    0.431904  0.00238259
