#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1     0.44366     0.44366           0
           2    0.440649    0.442155  0.00106433
           3    0.443385    0.442565 0.000784592
           4    0.428167    0.438965  0.00317232
           5    0.435372    0.438246  0.00261799
           6    0.438712    0.438324  0.00218281
           7    0.439271    0.438459  0.00187517
           8     0.43302    0.437779  0.00175972
           9    0.443764    0.438444  0.00168515
          10    0.441214    0.438721  0.00153923
          11    0.437545    0.438614  0.00140301
          12    0.436307    0.438422   0.0012992
          13    0.435263    0.438179  0.00122178
          14    0.434169    0.437893  0.00116761
          15    0.445126    0.438375  0.00118517
          16    0.437704    0.438333  0.00111184
          17    0.445203    0.438737  0.00111748
          18    0.438453    0.438721  0.00105551
          19    0.433703    0.438457  0.00103247
          20    0.439169    0.438493 0.000981456
