#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     15.3002     15.3002           0
           2     15.6666     15.4834    0.129551
           3     16.1507     15.7058    0.201117
           4     15.5172     15.6587    0.156271
           5     14.7932     15.4856    0.198998
           6     14.8049     15.3721    0.195513
           7     15.0433     15.3251    0.173134
           8     15.6496     15.3657    0.156169
           9     15.4192     15.3716     0.13893
          10     15.7703     15.4115    0.130631
          11      13.522     15.2397    0.202305
          12     14.4262     15.1719    0.196477
          13     14.8635     15.1482    0.182791
          14     15.0592     15.1419    0.169845
          15     15.5389     15.1683    0.160571
          16     14.8173     15.1464    0.152027
          17     15.3121     15.1561    0.143396
          18     14.6202     15.1264    0.138486
          19     15.5092     15.1465    0.132654
          20     15.0275     15.1406    0.126155
