#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.081986    0.081986           0
           2    0.079759   0.0808725 0.000787363
           3    0.090609    0.084118  0.00270143
           4    0.087115   0.0848672  0.00212744
           5     0.07312   0.0825178  0.00270418
           6    0.088471     0.08351  0.00242869
           7    0.082775    0.083405  0.00208401
           8    0.081639   0.0831842  0.00183516
           9    0.089735   0.0839121  0.00176972
          10    0.082933   0.0838142  0.00159545
          11    0.093691   0.0847121  0.00168422
          12    0.090012   0.0851537  0.00160073
          13    0.085234   0.0851599  0.00147761
          14    0.092177   0.0856611   0.0014546
          15    0.091456   0.0860475  0.00140799
          16    0.088809   0.0862201  0.00133053
          17    0.087544   0.0862979  0.00125454
          18    0.093758   0.0867124  0.00125143
          19    0.081993    0.086464  0.00120996
          20    0.089422   0.0866119  0.00115847
