#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.453023    0.453023           0
           2    0.444853    0.448938  0.00288855
           3    0.454244    0.450707   0.0024071
           4    0.448985    0.450276  0.00184343
           5    0.442064    0.448634  0.00208153
           6    0.435976    0.446524  0.00259188
           7    0.430443    0.444227  0.00307559
           8    0.448357    0.444743  0.00273412
           9    0.439302    0.444138  0.00249628
          10    0.452011    0.444926  0.00236752
          11    0.422441    0.442882  0.00290356
          12    0.446568    0.443189   0.0026778
          13    0.443155    0.443186  0.00247182
          14    0.439922    0.442953  0.00230623
          15    0.440432    0.442785   0.0021586
          16    0.428333    0.441882  0.00220457
          17     0.43579    0.441523  0.00210381
          18    0.425089     0.44061  0.00217605
          19    0.434365    0.440282   0.0020862
          20    0.437993    0.440167  0.00198503
