#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     24.0741     24.0741           0
           2     22.3171     23.1956    0.621225
           3      25.244     23.8784    0.694506
           4     23.6731     23.8271    0.522772
           5     26.6488     24.3914    0.655516
           6     25.0559     24.5022    0.555538
           7     22.2227     24.1765    0.563595
           8     24.4996     24.2169     0.49459
           9     24.6114     24.2607    0.441574
          10     26.4929      24.484    0.450313
          11     24.8872     24.5206    0.410864
          12     24.6252     24.5293    0.376718
          13     25.0389     24.5685    0.349773
          14     26.6774     24.7192     0.35575
          15      24.117      24.679    0.334291
          16     24.4138     24.6624    0.313808
          17     26.0577     24.7445    0.305893
          18     24.5311     24.7327    0.289129
          19     24.2959     24.7097    0.274824
          20     24.6036     24.7044    0.261134
