#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.682828   -0.682828           0
           2   -0.682656   -0.682742 6.08112e-05
           3   -0.682222   -0.682569 0.000147218
           4   -0.683308   -0.682753 0.000194457
           5    -0.68261   -0.682725  0.00015767
           6   -0.683496   -0.682853 0.000176156
           7   -0.682316   -0.682777  0.00016688
           8    -0.68401   -0.682931 0.000205235
           9   -0.682916   -0.682929 0.000182438
          10   -0.682486   -0.682885  0.00016949
          11    -0.68394   -0.682981 0.000179183
          12   -0.681166   -0.682829 0.000218958
          13   -0.684384   -0.682949 0.000232485
          14    -0.68396   -0.683021 0.000226815
          15   -0.680868   -0.682878 0.000253077
          16   -0.683878    -0.68294  0.00024486
          17    -0.68071   -0.682809 0.000263265
          18   -0.680292   -0.682669 0.000283354
          19     -0.6819   -0.682629 0.000271318
          20   -0.681618   -0.682578 0.000262416
