#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.371767    0.371767           0
           2    0.364133     0.36795    0.002699
           3    0.361623    0.365841  0.00249051
           4    0.365364    0.365722  0.00187073
           5    0.370191    0.366616  0.00169676
           6     0.37042     0.36725  0.00152785
           7    0.366492    0.367141  0.00131342
           8    0.375169    0.368145  0.00148388
           9    0.365483    0.367849  0.00134817
          10    0.372813    0.368346  0.00130154
          11    0.372239    0.368699   0.0012304
          12    0.375847    0.369295  0.00126385
          13    0.376199    0.369826  0.00127334
          14    0.373289    0.370074  0.00120617
          15    0.374407    0.370362  0.00115984
          16    0.371006    0.370403  0.00108805
          17    0.365699    0.370126  0.00105864
          18     0.36713     0.36996  0.00101282
          19    0.369641    0.369943 0.000959653
          20    0.372581    0.370075 0.000920694
