#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.421004    0.421004           0
           2    0.420938    0.420971  2.3074e-05
           3    0.419261    0.420401 0.000465578
           4    0.413254    0.418614  0.00158623
           5    0.421291     0.41915  0.00135629
           6    0.424994    0.420124   0.0014381
           7    0.416687    0.419633   0.0013138
           8    0.417999    0.419428  0.00116533
           9    0.427532    0.420329  0.00133925
          10    0.424672    0.420763  0.00127381
          11    0.415056    0.420244  0.00125924
          12    0.421486    0.420348  0.00115855
          13    0.421315    0.420422  0.00107181
          14    0.419115    0.420329 0.000999312
          15    0.426958    0.420771  0.00102577
          16    0.417748    0.420582   0.0009789
          17    0.416957    0.420369 0.000944251
          18    0.421575    0.420436 0.000894167
          19    0.413186    0.420054 0.000924945
          20    0.422508    0.420177 0.000886799
