#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.107125    0.107125           0
           2    0.118193    0.112659  0.00391313
           3    0.103056    0.109458  0.00369277
           4    0.121288    0.112415  0.00377235
           5    0.108324    0.111597  0.00310537
           6     0.11677    0.112459  0.00270484
           7    0.117843    0.113228  0.00242531
           8    0.108799    0.112675  0.00218443
           9    0.105103    0.111833  0.00209748
          10    0.113655    0.112016  0.00189562
          11     0.10583    0.111453  0.00180477
          12    0.105723    0.110976  0.00171639
          13    0.117699    0.111493  0.00166045
          14      0.1172    0.111901   0.0015911
          15    0.109055    0.111711  0.00149629
          16    0.112506    0.111761   0.0014036
          17     0.11479    0.111939   0.0013323
          18    0.111607     0.11192  0.00125841
          19    0.102648    0.111432  0.00128332
          20    0.122855    0.112003  0.00134023
