#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1     0.55686     0.55686           0
           2    0.610507    0.583683   0.0189671
           3    0.649933    0.605767   0.0220227
           4    0.684565    0.625466   0.0237459
           5    0.731771    0.646727   0.0268793
           6    0.659466     0.64885   0.0224831
           7    0.642146    0.647893   0.0192916
           8    0.630311    0.645695   0.0170049
           9     0.60809    0.641517   0.0156204
          10    0.709918    0.648357   0.0154837
          11    0.712261    0.654166   0.0151268
          12    0.698769    0.657883   0.0143156
          13    0.661898    0.658192   0.0132177
          14    0.613808    0.655022   0.0126481
          15    0.665271    0.655705   0.0118233
          16    0.719375    0.659684   0.0117349
          17    0.649779    0.659102   0.0110591
          18    0.719488    0.662456   0.0109417
          19     0.72974    0.665998   0.0109239
          20     0.68527    0.666961   0.0104201
