#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.893188   -0.893188           0
           2   -0.887648   -0.890418  0.00195869
           3   -0.894888   -0.891908   0.0017847
           4    -0.88999   -0.891428  0.00140146
           5   -0.896296   -0.892402  0.00141957
           6   -0.893412    -0.89257  0.00119291
           7    -0.88822   -0.891949  0.00117327
           8    -0.89159   -0.891904  0.00102747
           9    -0.89074   -0.891775 0.000921408
          10   -0.895634   -0.892161 0.000906495
          11   -0.892176   -0.892162 0.000824088
          12    -0.89117   -0.892079 0.000759549
          13   -0.893698   -0.892204 0.000711254
          14   -0.895802   -0.892461 0.000705359
          15   -0.891364   -0.892388 0.000662115
          16    -0.89055   -0.892273 0.000630616
          17   -0.894366   -0.892396 0.000605422
          18   -0.891414   -0.892341  0.00057424
          19    -0.89304   -0.892378 0.000545192
          20   -0.891472   -0.892333 0.000519812
