#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.330991    0.330991           0
           2    0.359368    0.345179   0.0100328
           3    0.332131     0.34083  0.00757289
           4     0.34401    0.341625  0.00572125
           5    0.307156    0.334731  0.00767911
           6    0.307803    0.330243  0.00759841
           7    0.339027    0.331498  0.00661572
           8      0.2893    0.326223  0.00760624
           9    0.325885    0.326186   0.0067612
          10    0.343863    0.327953  0.00631194
          11    0.326998    0.327866  0.00573872
          12    0.319876    0.327201  0.00529899
          13    0.367445    0.330296  0.00572469
          14    0.350632    0.331749  0.00549697
          15    0.327218    0.331447   0.0051388
          16    0.349887    0.332599  0.00494518
          17    0.321405    0.331941  0.00469793
          18    0.326712     0.33165   0.0044459
          19    0.319606    0.331016  0.00425686
          20    0.344721    0.331702   0.0040988
