#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.892396   -0.892396           0
           2   -0.891922   -0.892159 0.000167584
           3   -0.890958   -0.891759 0.000345437
           4   -0.886566    -0.89046  0.00115371
           5   -0.894824   -0.891333  0.00120878
           6   -0.891284   -0.891325  0.00100735
           7   -0.890584   -0.891219 0.000868984
           8   -0.890712   -0.891156  0.00076267
           9    -0.89398    -0.89147 0.000739676
          10   -0.891478    -0.89147 0.000665708
          11   -0.895188   -0.891808 0.000685631
          12   -0.891736   -0.891802 0.000628522
          13   -0.894642   -0.892021 0.000616965
          14   -0.893294   -0.892112  0.00057956
          15    -0.89048   -0.892003 0.000551037
          16   -0.887466   -0.891719 0.000585024
          17   -0.892976   -0.891793 0.000555261
          18    -0.89506   -0.891975 0.000553277
          19   -0.890784   -0.891912 0.000527695
          20   -0.890972   -0.891865 0.000503399
