#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.934308   -0.934308           0
           2   -0.930564   -0.932436   0.0013237
           3   -0.931526   -0.932133 0.000916566
           4   -0.932532   -0.932232  0.00069284
           5   -0.938176   -0.933421  0.00119901
           6   -0.933128   -0.933372  0.00100017
           7   -0.937428   -0.933952  0.00101127
           8   -0.939204   -0.934608   0.0010771
           9   -0.933322   -0.934465 0.000966856
          10   -0.937282   -0.934747 0.000910274
          11    -0.93535   -0.934802 0.000829171
          12   -0.934076   -0.934741 0.000762276
          13    -0.93647   -0.934874 0.000715144
          14   -0.936108   -0.934962 0.000669469
          15   -0.931888   -0.934757 0.000655463
          16   -0.933582   -0.934684   0.0006186
          17   -0.936956   -0.934818 0.000596474
          18   -0.937388    -0.93496 0.000580178
          19    -0.93593   -0.935011 0.000551882
          20    -0.93454   -0.934988 0.000524791
