#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.761268   -0.761268           0
           2   -0.762366   -0.761817 0.000388202
           3   -0.761496    -0.76171  0.00027315
           4    -0.76152   -0.761662 0.000208951
           5   -0.760198    -0.76137 0.000310765
           6   -0.763678   -0.761754 0.000436367
           7   -0.762984    -0.76193 0.000407858
           8    -0.76131   -0.761852 0.000364164
           9   -0.761186   -0.761778 0.000331146
          10   -0.760686   -0.761669 0.000315537
          11    -0.76343   -0.761829 0.000324927
          12    -0.75979   -0.761659 0.000339393
          13   -0.762564   -0.761729 0.000320341
          14   -0.761902   -0.761741 0.000297698
          15   -0.761684   -0.761737 0.000277876
          16   -0.763414   -0.761842 0.000279567
          17    -0.76115   -0.761802 0.000266071
          18   -0.761832   -0.761803 0.000251295
          19   -0.762176   -0.761823 0.000238834
          20   -0.761492   -0.761806 0.000227464
