#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.431043    0.431043           0
           2    0.440874    0.435958   0.0034757
           3    0.435005     0.43564  0.00233163
           4    0.425004    0.432981   0.0028916
           5    0.440976     0.43458  0.00271972
           6    0.422453    0.432559  0.00292249
           7    0.435545    0.432986  0.00253593
           8    0.436018    0.433365  0.00224709
           9    0.435638    0.433617  0.00201155
          10    0.422704    0.432526  0.00208553
          11    0.438491    0.433068  0.00196519
          12     0.43329    0.433087  0.00180151
          13    0.435966    0.433308  0.00167649
          14    0.438587    0.433685  0.00159858
          15    0.425047    0.433109  0.00159237
          16    0.430084     0.43292  0.00150403
          17    0.441549    0.433428  0.00149875
          18    0.435606    0.433549  0.00142037
          19    0.438991    0.433835  0.00137419
          20    0.423104    0.433299  0.00140634
