#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.431497    0.431497           0
           2    0.456958    0.444228  0.00900214
           3    0.435107    0.441187  0.00649452
           4    0.426806    0.437592  0.00578108
           5     0.44038     0.43815  0.00465168
           6    0.439511    0.438376  0.00388193
           7    0.424395    0.436379  0.00380668
           8    0.447257    0.437739  0.00356543
           9    0.439174    0.437898  0.00317284
          10    0.431489    0.437257  0.00291957
          11    0.429792    0.436579  0.00273189
          12    0.431083    0.436121  0.00254233
          13    0.430552    0.435692  0.00238257
          14    0.451721    0.436837   0.0024722
          15    0.417261    0.435532  0.00262941
          16    0.440444    0.435839  0.00248292
          17    0.437105    0.435914  0.00233798
          18    0.417141    0.434871   0.0024296
          19    0.442084     0.43525   0.0023312
          20    0.432225    0.435099  0.00221954
