#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     68.6689     68.6689           0
           2     74.4148     71.5418     2.03146
           3     72.1046     71.7294     1.36294
           4     81.7854     74.2434     2.40521
           5     77.9933     74.9934     2.03774
           6     77.4166     75.3973     1.73768
           7      78.002     75.7694     1.52876
           8      78.299     76.0856     1.36998
           9     81.2666     76.6612     1.33323
          10     76.6186      76.657     1.19992
          11     82.6798     77.2045     1.20932
          12     76.4339     77.1403     1.11024
          13     80.6966     77.4139     1.05801
          14     78.6377     77.5013    0.986038
          15     73.2807     77.2199    0.959608
          16     74.9875     77.0804    0.909719
          17     79.9098     77.2468    0.871298
          18     81.7722     77.4982    0.858398
          19     83.9953     77.8402    0.878694
          20      81.672     78.0318    0.855392
