#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.445088    0.445088           0
           2    0.452762    0.448925  0.00271322
           3    0.420368    0.439406  0.00797998
           4    0.410719    0.432234  0.00862522
           5    0.433838    0.432555  0.00690613
           6    0.413358    0.429355   0.0064538
           7    0.417957    0.427727  0.00573357
           8    0.415426    0.426189  0.00521899
           9    0.430245     0.42664  0.00465851
          10    0.431716    0.427148  0.00422022
          11    0.434845    0.427847  0.00389415
          12    0.432378    0.428225   0.0035879
          13    0.431446    0.428473  0.00332045
          14    0.406293    0.426888  0.00344053
          15    0.430785    0.427148  0.00322095
          16    0.400451     0.42548  0.00342467
          17    0.436337    0.426118  0.00328224
          18    0.434326    0.426574   0.0031314
          19    0.422386    0.426354  0.00297434
          20    0.424091    0.426241  0.00282778
