#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.369637    0.369637           0
           2     0.37238    0.371009 0.000969744
           3    0.377131    0.373049  0.00178733
           4    0.371784    0.372733   0.0013682
           5    0.373115     0.37281  0.00109669
           6    0.364357    0.371401  0.00157768
           7    0.373441    0.371692  0.00137896
           8    0.371819    0.371708  0.00120668
           9    0.369549    0.371468  0.00109619
          10    0.373291    0.371651  0.00100161
          11     0.37532    0.371984 0.000964519
          12    0.373412    0.372103 0.000891456
          13    0.371988    0.372094 0.000822927
          14    0.366589    0.371701 0.000852956
          15    0.363758    0.371171 0.000946301
          16    0.372829    0.371275 0.000892807
          17    0.367443     0.37105 0.000868284
          18    0.369219    0.370948 0.000825983
          19    0.372618    0.371036 0.000787175
          20    0.370659    0.371017 0.000748042
