#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     25.0663     25.0663           0
           2     24.6876     24.8769    0.133865
           3     23.9856     24.5798    0.258492
           4     21.9849     23.9311     0.59433
           5     25.7231     24.2895    0.573435
           6     24.0658     24.2522    0.479073
           7     23.7686     24.1831    0.415586
           8     23.1636     24.0557     0.38268
           9     25.1892     24.1816    0.360291
          10     24.2352      24.187    0.324302
          11     25.9784     24.3498    0.333211
          12     24.5818     24.3692    0.306003
          13      26.154     24.5065    0.311748
          14     24.1199     24.4789      0.2907
          15     24.2159     24.4613    0.271848
          16     21.9598      24.305    0.296426
          17     25.5801       24.38    0.288323
          18     25.8114     24.4595    0.283059
          19      23.096     24.3877    0.277108
          20      24.509     24.3938    0.263319
