#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.463642    0.463642           0
           2    0.476936    0.470289  0.00470014
           3    0.463337    0.467972  0.00366038
           4      0.4764    0.470079  0.00329643
           5    0.409123    0.457888   0.0112185
           6    0.478932    0.461395   0.0098818
           7    0.453719    0.460298  0.00853074
           8    0.416418    0.454813  0.00905772
           9    0.402448    0.448995  0.00974246
          10    0.408215    0.444917  0.00958377
          11    0.481185    0.448214  0.00926232
          12    0.497099    0.452288  0.00934346
          13    0.469346      0.4536  0.00871639
          14    0.465996    0.454485  0.00813864
          15    0.536862    0.459977  0.00926548
          16    0.408535    0.456762  0.00922737
          17    0.472094    0.457664  0.00872854
          18     0.38806    0.453797  0.00905977
          19    0.430149    0.452552  0.00866801
          20    0.488186    0.454334  0.00841573
