#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.157386    0.157386           0
           2    0.142549    0.149967  0.00524567
           3    0.143994    0.147976  0.00385655
           4    0.163364    0.151823  0.00441193
           5    0.143977    0.150254  0.00379838
           6    0.145169    0.149406   0.0032585
           7      0.1643    0.151534  0.00341775
           8    0.138322    0.149883  0.00336598
           9    0.133746     0.14809  0.00343649
          10    0.134261    0.146707  0.00335958
          11    0.140455    0.146138  0.00310186
          12    0.168795    0.148026  0.00336934
          13    0.139262    0.147352  0.00317689
          14    0.150618    0.147586  0.00295852
          15    0.145591    0.147453  0.00276428
          16    0.156094    0.147993  0.00264374
          17    0.129572    0.146909  0.00270117
          18    0.128546    0.145889  0.00273699
          19    0.128084    0.144952  0.00274868
          20    0.169295    0.146169   0.0028681
