#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.683306   -0.683306           0
           2   -0.684282   -0.683794 0.000345068
           3   -0.682896   -0.683495  0.00033564
           4   -0.682556    -0.68326 0.000323527
           5   -0.681614   -0.682931 0.000392029
           6    -0.68304   -0.682949 0.000327113
           7   -0.682702   -0.682914 0.000282279
           8   -0.682484    -0.68286 0.000252053
           9    -0.68349    -0.68293 0.000233565
          10    -0.68267   -0.682904 0.000211651
          11   -0.683844   -0.682989  0.00020895
          12   -0.682324   -0.682934  0.00019876
          13   -0.682944   -0.682935 0.000183472
          14   -0.682532   -0.682906 0.000172608
          15   -0.682248   -0.682862 0.000166582
          16    -0.68187     -0.6828 0.000167314
          17   -0.680228   -0.682649 0.000215274
          18   -0.682026   -0.682614 0.000206076
          19   -0.682904   -0.682629 0.000195794
          20   -0.682666   -0.682631 0.000186013
