#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     4.47548     4.47548           0
           2     4.50116     4.48832  0.00908102
           3      4.3976     4.45808    0.025422
           4      4.4025     4.44418   0.0225462
           5     4.30952     4.41725   0.0300941
           6     4.25845     4.39078   0.0348236
           7      4.2664     4.37301   0.0340824
           8     4.46857     4.38496   0.0318465
           9     4.53695     4.40185   0.0324784
          10     4.40315     4.40198   0.0292309
          11     4.44916     4.40627   0.0268864
          12     4.39306     4.40517   0.0246684
          13     4.39743     4.40457    0.022778
          14     4.33001     4.39924   0.0217647
          15     4.16478     4.38361   0.0253117
          16     4.45479     4.38806   0.0241175
          17     4.31507     4.38377   0.0230779
          18     4.61744     4.39675   0.0251836
          19     4.42665     4.39832   0.0239073
          20     4.47225     4.40202   0.0229959
