#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     7.28774     7.28774           0
           2      7.3317     7.30972   0.0155422
           3     7.44943     7.35629   0.0394107
           4      7.4212     7.37252    0.032729
           5     7.11226     7.32047   0.0534149
           6     7.53306      7.3559   0.0550236
           7     7.34735     7.35468   0.0471766
           8     7.19497     7.33472   0.0453069
           9     7.29081     7.32984   0.0405346
          10     7.01561     7.29841    0.047112
          11     7.12789     7.28291   0.0453078
          12      7.2522     7.28035   0.0416043
          13     7.55404     7.30141   0.0434049
          14      7.4539      7.3123   0.0416488
          15     7.21248     7.30564   0.0394003
          16     7.88821     7.34205   0.0510614
          17     7.18726     7.33295    0.048863
          18     7.39621     7.33646   0.0462746
          19     7.43095     7.34144   0.0441055
          20     7.33289     7.34101   0.0419023
