#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.420624    0.420624           0
           2     0.41664    0.418632  0.00140838
           3     0.41896    0.418741 0.000943162
           4      0.4147    0.417731  0.00112505
           5     0.41927    0.418039 0.000941206
           6     0.41162    0.416969  0.00125262
           7    0.415315    0.416733  0.00109574
           8     0.40989    0.415877  0.00124874
           9    0.423858    0.416764  0.00138959
          10    0.410256    0.416113  0.00139471
          11    0.422796    0.416721  0.00139396
          12    0.426966    0.417575  0.00151687
          13    0.427015    0.418301   0.0015644
          14    0.421731    0.418546  0.00147172
          15     0.41373    0.418225  0.00140819
          16    0.424097    0.418592  0.00136717
          17    0.405958    0.417849  0.00147497
          18    0.415864    0.417738  0.00139714
          19    0.414947    0.417591  0.00133131
          20    0.420849    0.417754  0.00127466
