#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.293428    0.293428           0
           2    0.309826    0.301627  0.00579757
           3    0.253024    0.285426   0.0137812
           4    0.305904    0.290545   0.0112466
           5    0.286051    0.289647  0.00903317
           6    0.313488     0.29362  0.00835602
           7     0.30129    0.294716  0.00723378
           8    0.254199    0.289651  0.00790616
           9    0.286362    0.289286  0.00703614
          10    0.272931     0.28765  0.00651983
          11    0.300711    0.288838  0.00603426
          12    0.327473    0.292057  0.00633234
          13    0.317468    0.294012  0.00613952
          14    0.308227    0.295027  0.00578433
          15     0.34461    0.298333  0.00627248
          16    0.284772    0.297485  0.00593744
          17    0.295632    0.297376  0.00558918
          18    0.286183    0.296754  0.00531315
          19    0.280522      0.2959  0.00510173
          20    0.340888    0.298149  0.00531947
