#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.120466    0.120466           0
           2    0.108529    0.114497  0.00422037
           3    0.101147    0.110047  0.00459553
           4    0.125862    0.114001  0.00485829
           5    0.109256    0.113052  0.00397824
           6    0.112988    0.113041  0.00331521
           7    0.122332    0.114369  0.00309591
           8    0.101774    0.112794  0.00308333
           9    0.101073    0.111492  0.00300322
          10    0.099875     0.11033  0.00291894
          11    0.101707    0.109546  0.00275684
          12    0.130161    0.111264  0.00301521
          13    0.095211    0.110029  0.00302559
          14    0.107199    0.109827  0.00281622
          15     0.12148    0.110604  0.00273352
          16    0.112802    0.110741  0.00256613
          17    0.100722    0.110152  0.00248194
          18    0.097585    0.109454  0.00244027
          19    0.092698    0.108572  0.00246605
          20    0.131548    0.109721  0.00259658
