#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.908098    0.908098           0
           2    0.944558    0.926328   0.0128906
           3     0.88014    0.910932   0.0152275
           4    0.842387    0.893796   0.0187262
           5    0.926559    0.900348   0.0160866
           6    0.924346    0.904348   0.0138938
           7    0.941758    0.909692   0.0128959
           8    0.906224    0.909259   0.0112912
           9    0.846557    0.902292   0.0119949
          10    0.897212    0.901784   0.0108062
          11     0.92413    0.903815   0.0100129
          12     0.88723    0.902433  0.00927341
          13    0.925088    0.904176  0.00872228
          14    0.838119    0.899458   0.0092882
          15    0.928865    0.901418  0.00887348
          16    0.864862    0.899133    0.008608
          17    0.800643     0.89334   0.0098604
          18    0.871379     0.89212  0.00938778
          19    0.810544    0.887826  0.00982656
          20    0.953578    0.891114  0.00986987
