#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.732897    0.732897           0
           2    0.713543     0.72322  0.00684267
           3    0.702912    0.716451  0.00716653
           4    0.746061    0.723853  0.00836589
           5    0.620664    0.703215   0.0196349
           6    0.708289    0.704061   0.0163806
           7    0.697633    0.703143   0.0140662
           8    0.716079     0.70476   0.0124006
           9    0.710098    0.705353   0.0110369
          10    0.724316    0.707249   0.0100948
          11    0.712027    0.707684  0.00918643
          12    0.701874    0.707199  0.00843364
          13    0.724689    0.708545  0.00789148
          14    0.707125    0.708443  0.00732845
          15    0.767885    0.712406  0.00783841
          16    0.654653    0.708797  0.00813728
          17    0.709093    0.708814  0.00765864
          18    0.681958    0.707322  0.00737706
          19    0.713521    0.707648    0.006996
          20     0.72666    0.708599  0.00671047
