#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.401478    0.401478           0
           2    0.394361     0.39792  0.00251637
           3    0.401749    0.399196  0.00197497
           4    0.392764    0.397588  0.00203308
           5    0.397369    0.397544  0.00162694
           6    0.385939     0.39561  0.00222617
           7    0.397246    0.395844  0.00192038
           8    0.389044    0.394994  0.00185895
           9    0.401289    0.395693  0.00177913
          10    0.395554    0.395679  0.00160127
          11    0.399158    0.395995   0.0014866
          12    0.392356    0.395692  0.00139331
          13    0.393678    0.395537  0.00129472
          14    0.396738    0.395623  0.00120508
          15    0.394569    0.395553  0.00112679
          16    0.396735    0.395627  0.00105878
          17    0.384203    0.394955  0.00119079
          18    0.402876    0.395395  0.00120321
          19    0.398687    0.395568   0.0011523
          20    0.391819    0.395381  0.00110983
