#     BLOCK:   ACTUAL_M:     M_AVE:       ERROR:
           1    0.106538    0.106538           0
           2    0.086049   0.0962935  0.00724396
           3    0.079407   0.0906647  0.00666668
           4    0.099175   0.0927922   0.0053287
           5    0.087661    0.091766  0.00436067
           6     0.09154   0.0917283  0.00363405
           7    0.099276   0.0928066  0.00327095
           8    0.084405   0.0917564  0.00302598
           9    0.082099   0.0906833  0.00287373
          10    0.086702   0.0902852  0.00261379
          11    0.073963   0.0888014  0.00276546
          12    0.097872   0.0895572  0.00263629
          13    0.070957   0.0881265  0.00279492
          14    0.088525   0.0881549  0.00259543
          15    0.098895   0.0888709  0.00251923
          16    0.085441   0.0886566  0.00237088
          17    0.085666   0.0884806  0.00223793
          18    0.078532   0.0879279  0.00218079
          19    0.078527   0.0874332   0.0021214
          20    0.101316   0.0881273  0.00212586
