#     BLOCK:   ACTUAL_CV:    CV_AVE:      ERROR:
           1    0.399946    0.399946           0
           2    0.358965    0.379456   0.0144891
           3    0.374609     0.37784  0.00974904
           4     0.32928      0.3657   0.0128061
           5    0.325603    0.357681   0.0125063
           6     0.34148    0.354981   0.0107094
           7    0.334493    0.352054  0.00957106
           8    0.333565    0.349743  0.00864921
           9    0.336518    0.348273  0.00781201
          10    0.336656    0.347111  0.00711667
          11    0.303128    0.343113  0.00750945
          12    0.345236     0.34329  0.00688574
          13     0.30487    0.340335  0.00696145
          14    0.350101    0.341032  0.00649907
          15    0.370988    0.343029  0.00636523
          16    0.356177    0.343851  0.00602021
          17    0.320636    0.342485  0.00581891
          18    0.294835    0.339838    0.006068
          19    0.296632    0.337564     0.00616
          20     0.32321    0.336846  0.00589366
