#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1   -0.963192   -0.963192           0
           2   -0.969536   -0.966364  0.00224294
           3   -0.967014   -0.966581  0.00150572
           4    -0.97598    -0.96893  0.00232736
           5   -0.974102   -0.969965  0.00207905
           6   -0.971248   -0.970179   0.0017435
           7   -0.972618   -0.970527  0.00152886
           8   -0.974154    -0.97098  0.00140336
           9   -0.975178   -0.971447  0.00132266
          10   -0.972608   -0.971563  0.00119548
          11   -0.977542   -0.972107  0.00120404
          12   -0.971902   -0.972089  0.00110383
          13   -0.976252    -0.97241  0.00106435
          14   -0.972708   -0.972431 0.000988534
          15    -0.96851    -0.97217 0.000956569
          16   -0.970396   -0.972059 0.000903183
          17   -0.975042   -0.972234 0.000866935
          18   -0.977132   -0.972506 0.000860414
          19   -0.978924   -0.972844 0.000878931
          20   -0.976374   -0.973021 0.000852521
