#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     5.82012     5.82012           0
           2     5.77104     5.79558   0.0173518
           3     5.60551     5.73222   0.0530071
           4     5.39282     5.64737   0.0835472
           5     5.37331     5.59256   0.0828908
           6     5.49431     5.57618   0.0706747
           7     5.47649     5.56194   0.0619965
           8     5.49054     5.55302   0.0548856
           9     5.71633     5.57116      0.0517
          10     5.60842     5.57489    0.046664
          11     5.51904     5.56981   0.0426972
          12     5.54919     5.56809   0.0391736
          13      5.5474      5.5665   0.0361926
          14     5.55887     5.56596   0.0336115
          15     5.52962     5.56353   0.0314579
          16     5.72128     5.57339   0.0309983
          17     5.44593      5.5659    0.030068
          18     5.72268     5.57461   0.0296323
          19     5.70925     5.58169   0.0289077
          20     5.54945     5.58008   0.0275072
