#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     45.0163     45.0163           0
           2     39.4657      42.241     1.96244
           3     42.5691     42.3504     1.31134
           4     41.6154     42.1666    0.996295
           5     45.8621     42.9057      1.0355
           6      42.768     42.8828    0.863174
           7     46.0829     43.3399    0.852371
           8     47.3909     43.8463    0.883524
           9     43.1532     43.7693    0.788704
          10      45.105     43.9029    0.721055
          11     44.1244      43.923    0.655786
          12     44.7039     43.9881    0.604357
          13     45.3287     44.0912    0.566597
          14     45.1202     44.1647    0.530872
          15       41.02     43.9551    0.535278
          16     43.0111     43.8961    0.505064
          17     45.4724     43.9888    0.483791
          18     45.9276     44.0965    0.468752
          19     43.6896     44.0751    0.444569
          20     44.4556     44.0941    0.422748
