#     BLOCK:   ACTUAL_X:     X_AVE:       ERROR:
           1     9.79533     9.79533           0
           2      9.8626     9.82897   0.0237863
           3     10.6091      10.089    0.212918
           4      10.188     10.1138    0.161121
           5      10.422     10.1754    0.140198
           6     10.0936     10.1618    0.117492
           7     9.77131      10.106    0.113178
           8     10.3347     10.1346    0.102579
           9     9.97477     10.1168   0.0927057
          10      9.5721     10.0624   0.0981432
          11     10.0943     10.0653    0.089264
          12     9.18997     9.99233    0.107575
          13      10.665     10.0441    0.111049
          14     10.4123     10.0704    0.106187
          15      9.9756     10.0641   0.0992959
          16     10.5242     10.0928   0.0971656
          17     10.2395     10.1014   0.0918321
          18     10.4921     10.1231   0.0892582
          19     10.4228     10.1389   0.0859424
          20     10.2025     10.1421   0.0817041
