#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.72326    -0.72326           0
           2   -0.723772   -0.723516 0.000181019
           3   -0.720936   -0.722656 0.000712482
           4    -0.72063   -0.722149 0.000691338
           5    -0.71921   -0.721562 0.000763144
           6   -0.720664   -0.721412 0.000650451
           7   -0.721298   -0.721396 0.000557733
           8   -0.721924   -0.721462  0.00049191
           9   -0.721206   -0.721433 0.000438074
          10   -0.721022   -0.721392 0.000396193
          11   -0.722572   -0.721499 0.000374411
          12   -0.720818   -0.721443  0.00034749
          13   -0.720588   -0.721377  0.00032692
          14   -0.720736   -0.721331 0.000306758
          15    -0.72287   -0.721434 0.000302977
          16   -0.721692    -0.72145  0.00028447
          17   -0.719276   -0.721322 0.000295082
          18   -0.720398   -0.721271 0.000283118
          19   -0.722282   -0.721324 0.000273175
          20   -0.720476   -0.721281 0.000262785
