#     BLOCK:   ACTUAL_TE:    TE_AVE:      ERROR:
           1    -0.84629    -0.84629           0
           2   -0.848684   -0.847487 0.000846407
           3   -0.850624   -0.848533   0.0010234
           4   -0.845536   -0.847783  0.00100502
           5   -0.848242   -0.847875 0.000808191
           6   -0.847654   -0.847838 0.000674333
           7   -0.847646   -0.847811 0.000578559
           8   -0.848822   -0.847937 0.000519862
           9   -0.848728   -0.848025 0.000469465
          10   -0.848098   -0.848032 0.000422575
          11   -0.850648    -0.84827  0.00044607
          12   -0.845504    -0.84804 0.000464657
          13    -0.84978   -0.848174 0.000447784
          14   -0.849536   -0.848271 0.000426244
          15   -0.848344   -0.848276 0.000397855
          16   -0.848886   -0.848314 0.000374813
          17   -0.846008   -0.848178 0.000376509
          18   -0.846642   -0.848093 0.000365137
          19   -0.847114   -0.848041 0.000349535
          20    -0.84796   -0.848037 0.000332082
