#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
         168     1.75608     2.04283   0.0428426
         169     1.75041      2.0411    0.042624
         170     1.74467     2.03936   0.0424089
         171     1.73884      2.0376   0.0421973
         172     1.73295     2.03583   0.0419891
         173       1.727     2.03405   0.0417843
         174     1.72101     2.03225   0.0415829
         175     1.71497     2.03043   0.0413848
         176      1.7089     2.02861     0.04119
         177     1.70283     2.02677   0.0409983
         178     1.69675     2.02491   0.0408099
         179     1.69069     2.02305   0.0406246
         180     1.68465     2.02117   0.0404424
         181     1.67865     2.01927   0.0402632
         182     1.67271     2.01737    0.040087
         183     1.66685     2.01545   0.0399137
         184     1.66107     2.01353   0.0397432
         185     1.65541     2.01159   0.0395755
         186     1.64988     2.00965   0.0394105
         187     1.64449     2.00769    0.039248
         188     1.63928     2.00573   0.0390882
         189     1.63425     2.00377   0.0389307
         190     1.62943      2.0018   0.0387757
         191     1.62483     1.99983   0.0386229
         192     1.62048     1.99785   0.0384722
         193     1.61638     1.99587   0.0383236
         194     1.61257      1.9939   0.0381769
         195     1.60904     1.99192   0.0380321
         196     1.60581     1.98995   0.0378891
         197      1.6029     1.98799   0.0377477
         198      1.6003     1.98603   0.0376078
         199     1.59804     1.98408   0.0374693
         200     1.59611     1.98214   0.0373321
         201     1.59451     1.98021   0.0371962
         202     1.59326      1.9783   0.0370613
         203     1.59234      1.9764   0.0369275
         204     1.59176     1.97451   0.0367946
         205      1.5915     1.97264   0.0366625
         206     1.59158     1.97079   0.0365312
         207     1.59197     1.96896   0.0364005
         208     1.59266     1.96715   0.0362704
         209     1.59365     1.96537   0.0361409
         210     1.59493      1.9636   0.0360118
         211     1.59647     1.96186   0.0358831
         212     1.59826     1.96015   0.0357549
         213     1.60028     1.95846   0.0356269
         214     1.60251     1.95679   0.0354992
         215     1.60493     1.95516   0.0353718
         216      1.6075     1.95355   0.0352446
         217     1.61022     1.95197   0.0351177
         218     1.61304     1.95041    0.034991
         219     1.61594     1.94888   0.0348646
         220     1.61889     1.94738   0.0347383
         221     1.62187     1.94591   0.0346124
         222     1.62485     1.94446   0.0344867
         223      1.6278     1.94304   0.0343612
         224     1.63071     1.94165   0.0342361
         225     1.63353     1.94028   0.0341113
         226     1.63627     1.93894   0.0339869
         227     1.63889     1.93761   0.0338629
         228     1.64138     1.93631   0.0337393
         229     1.64373     1.93504   0.0336161
         230     1.64594     1.93378   0.0334935
         231     1.64798     1.93254   0.0333713
         232     1.64987     1.93132   0.0332497
         233     1.65159     1.93012   0.0331287
         234     1.65315     1.92894   0.0330082
         235     1.65455     1.92777   0.0328884
         236      1.6558     1.92662   0.0327692
         237      1.6569     1.92548   0.0326507
         238     1.65786     1.92436   0.0325329
         239     1.65868     1.92325   0.0324158
         240     1.65937     1.92215   0.0322993
         241     1.65994     1.92106   0.0321836
         242     1.66038     1.91998   0.0320687
         243     1.66071     1.91891   0.0319544
         244     1.66093     1.91786    0.031841
         245     1.66104     1.91681   0.0317283
         246     1.66105     1.91577   0.0316163
         247     1.66095     1.91474   0.0315051
         248     1.66074     1.91371   0.0313947
         249     1.66044      1.9127   0.0312851
         250     1.66002     1.91169   0.0311763
         251     1.65951     1.91068   0.0310683
         252     1.65889     1.90968   0.0309611
         253     1.65816     1.90869   0.0308546
         254     1.65733      1.9077    0.030749
         255     1.65639     1.90671   0.0306442
         256     1.65534     1.90573   0.0305403
         257     1.65419     1.90475   0.0304371
         258     1.65295     1.90378   0.0303348
         259      1.6516      1.9028   0.0302333
         260     1.65017     1.90183   0.0301326
         261     1.64865     1.90086   0.0300328
         262     1.64707     1.89989   0.0299338
         263     1.64541     1.89892   0.0298356
         264     1.64371     1.89796   0.0297382
         265     1.64196     1.89699   0.0296417
         266     1.64019     1.89603    0.029546
         267      1.6384     1.89506   0.0294511
         268     1.63661      1.8941   0.0293569
         269     1.63482     1.89313   0.0292636
         270     1.63306     1.89217   0.0291711
         271     1.63135     1.89121   0.0290793
         272     1.62968     1.89025   0.0289883
         273     1.62808     1.88929    0.028898
         274     1.62656     1.88833   0.0288085
         275     1.62512     1.88737   0.0287196
         276     1.62378     1.88641   0.0286314
         277     1.62256     1.88546   0.0285439
         278     1.62144     1.88451    0.028457
         279     1.62044     1.88357   0.0283708
         280     1.61956     1.88262   0.0282851
         281     1.61881     1.88168      0.0282
         282     1.61819     1.88075   0.0281155
         283     1.61769     1.87982   0.0280315
         284     1.61732      1.8789    0.027948
         285     1.61707     1.87798   0.0278651
         286     1.61694     1.87706   0.0277826
         287     1.61693     1.87616   0.0277006
         288     1.61702     1.87526    0.027619
         289     1.61722     1.87437   0.0275378
         290      1.6175     1.87348   0.0274571
         291     1.61787      1.8726   0.0273768
         292     1.61831     1.87173   0.0272969
         293     1.61882     1.87087   0.0272174
         294     1.61939     1.87001   0.0271383
         295     1.61999     1.86916   0.0270595
         296     1.62063     1.86832   0.0269811
         297     1.62129     1.86749   0.0269031
         298     1.62197     1.86667   0.0268254
         299     1.62265     1.86585   0.0267481
         300     1.62332     1.86504   0.0266712
         301     1.62398     1.86424   0.0265946
         302     1.62461     1.86345   0.0265183
         303      1.6252     1.86266   0.0264425
         304     1.62576     1.86188    0.026367
         305     1.62628     1.86111   0.0262918
         306     1.62674     1.86035   0.0262171
         307     1.62715     1.85959   0.0261427
         308      1.6275     1.85883   0.0260687
         309     1.62779     1.85809    0.025995
         310     1.62803     1.85734   0.0259217
         311     1.62821     1.85661   0.0258489
         312     1.62832     1.85587   0.0257764
         313     1.62839     1.85515   0.0257043
         314     1.62841     1.85443   0.0256325
         315     1.62838     1.85371   0.0255612
         316     1.62831     1.85299   0.0254903
         317     1.62821     1.85229   0.0254197
         318     1.62808     1.85158   0.0253496
         319     1.62794     1.85088   0.0252798
         320     1.62777     1.85018   0.0252104
         321      1.6276     1.84949   0.0251414
         322     1.62742      1.8488   0.0250728
