#     BLOCK:   ACTUAL_T:     T_AVE:       ERROR:
         168     1.17072     1.36189   0.0285617
         169     1.16694     1.36074    0.028416
         170     1.16311     1.35957   0.0282726
         171     1.15923      1.3584   0.0281315
         172      1.1553     1.35722   0.0279927
         173     1.15134     1.35603   0.0278562
         174     1.14734     1.35483   0.0277219
         175     1.14331     1.35362   0.0275899
         176     1.13927      1.3524     0.02746
         177     1.13522     1.35118   0.0273322
         178     1.13117     1.34994   0.0272066
         179     1.12712      1.3487   0.0270831
         180      1.1231     1.34744   0.0269616
         181      1.1191     1.34618   0.0268421
         182     1.11514     1.34491   0.0267247
         183     1.11123     1.34364   0.0266091
         184     1.10738     1.34235   0.0264955
         185     1.10361     1.34106   0.0263836
         186     1.09992     1.33976   0.0262736
         187     1.09633     1.33846   0.0261654
         188     1.09285     1.33716   0.0260588
         189      1.0895     1.33585   0.0259538
         190     1.08629     1.33453   0.0258504
         191     1.08322     1.33322   0.0257486
         192     1.08032      1.3319   0.0256481
         193     1.07759     1.33058   0.0255491
         194     1.07504     1.32926   0.0254513
         195     1.07269     1.32795   0.0253548
         196     1.07054     1.32664   0.0252594
         197      1.0686     1.32533   0.0251651
         198     1.06687     1.32402   0.0250718
         199     1.06536     1.32272   0.0249795
         200     1.06407     1.32143   0.0248881
         201     1.06301     1.32014   0.0247975
         202     1.06217     1.31886   0.0247076
         203     1.06156      1.3176   0.0246183
         204     1.06117     1.31634   0.0245297
         205       1.061     1.31509   0.0244417
         206     1.06105     1.31386   0.0243541
         207     1.06131     1.31264    0.024267
         208     1.06177     1.31144   0.0241803
         209     1.06244     1.31024   0.0240939
         210     1.06329     1.30907   0.0240079
         211     1.06431     1.30791   0.0239221
         212     1.06551     1.30676   0.0238366
         213     1.06685     1.30564   0.0237513
         214     1.06834     1.30453   0.0236661
         215     1.06995     1.30344   0.0235812
         216     1.07167     1.30237   0.0234964
         217     1.07348     1.30131   0.0234118
         218     1.07536     1.30027   0.0233274
         219     1.07729     1.29926    0.023243
         220     1.07926     1.29826   0.0231589
         221     1.08125     1.29727   0.0230749
         222     1.08323     1.29631   0.0229911
         223      1.0852     1.29536   0.0229075
         224     1.08714     1.29443   0.0228241
         225     1.08902     1.29352   0.0227409
         226     1.09084     1.29262   0.0226579
         227     1.09259     1.29174   0.0225753
         228     1.09425     1.29088   0.0224928
         229     1.09582     1.29002   0.0224107
         230     1.09729     1.28919    0.022329
         231     1.09866     1.28836   0.0222475
         232     1.09991     1.28755   0.0221665
         233     1.10106     1.28675   0.0220858
         234      1.1021     1.28596   0.0220055
         235     1.10304     1.28518   0.0219256
         236     1.10387     1.28441   0.0218462
         237      1.1046     1.28365   0.0217672
         238     1.10524     1.28291   0.0216886
         239     1.10579     1.28216   0.0216105
         240     1.10625     1.28143   0.0215329
         241     1.10662     1.28071   0.0214558
         242     1.10692     1.27999   0.0213791
         243     1.10714     1.27928    0.021303
         244     1.10729     1.27857   0.0212273
         245     1.10736     1.27787   0.0211522
         246     1.10736     1.27718   0.0210775
