#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
           1     3.20891     3.20891           0
           2     3.27957     3.24424   0.0249827
           3     3.25317     3.24722   0.0168315
           4     3.24866     3.24758   0.0126275
           5     3.27234     3.25253   0.0110301
           6     3.28452     3.25786   0.0104005
           7     3.30351     3.26438    0.010767
           8     3.27489      3.2657  0.00950087
           9      3.2488     3.26382  0.00862871
          10     3.29375     3.26681  0.00826857
          11     3.30343     3.27014  0.00815954
          12     3.24139     3.26774   0.0078234
          13     3.28589     3.26914  0.00734501
          14     3.27523     3.26958  0.00683325
          15     3.29203     3.27107  0.00653959
          16     3.28196     3.27175  0.00616614
          17     3.26934     3.27161  0.00580506
          18     3.25367     3.27061   0.0055675
          19     3.25319      3.2697  0.00534942
          20     3.29225     3.27082  0.00519945
